input_sha256,layer,layer_label,country,region,covered_capacity_mw,registered_capacity_mw,regional_coverage_pct,covered_source_records,registered_source_records
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Henan,0,574.8993,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Hubei,0,445.2651,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Ningxia,0,419.5768,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Guangxi,0,385.3256,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Tianjin,0,363.9186,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Xinjiang,0,362.7263,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Gansu,0,351.508,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Jiangxi,0,340.2897,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Anhui,0,336.225,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Shaanxi,0,317.853,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Liaoning,0,291.6769,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Yunnan,0,278.9952,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Qinghai,0,205.6696,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Heilongjiang,0,172.0146,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Hainan,0,121.6133,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Jilin,0,121.6133,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,China,Tibet,0,118.0365,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,India,Maharashtra,0,911.9,0,0,2
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,India,Tamil Nadu,0,191.5,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,India,Delhi NCR,0,174.5,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,India,Karnataka,0,169.5,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,India,Telangana,0,151.4,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,India,West Bengal,0,23.1,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,London,0,1048,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,Wales,0,154,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,South East,0,128,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,South West,0,53,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,North West,0,52,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,East of England,0,44,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,Scotland,0,30,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,North East,0,17,0,0,1
